ROC_AUC_SCOREweighted,F1_SCOREweighted,DatasetName,MemberFunction,LossFunction,Realistic
0.5783789078936228,0.0379812796574985,bpic2012_accepted,Triangular,CrossEntropy,Trained
0.5,0.0,bpic2012_accepted,Triangular,L1,Random
0.5,0.0,bpic2012_accepted,Triangular,SmoothL1,Random
0.5,0.0,bpic2012_cancelled,Bell,BCE,Random
0.5,0.0,bpic2012_cancelled,Triangular,BCE,Random
0.5,0.0,bpic2012_declined,Bell,BCE,Random
0.596435940024903,0.1267409688790076,bpic2012_declined,Bell,CrossEntropy,Trained
0.5,0.2970194174686836,bpic2012_declined,Bell,L1,Random
0.5,0.0,bpic2012_declined,Bell,SmoothL1,Random
0.5796822843736772,0.1260272807760916,bpic2012_declined,DSigmoid,CrossEntropy,Trained
0.5,0.195061677340402,bpic2012_declined,DSigmoid,L1,Random
0.5,0.0011245618777031,bpic2012_declined,DSigmoid,SmoothL1,Random
0.5,0.0,bpic2012_declined,Gauss,BCE,Random
0.6042944856281133,0.1349998509295796,bpic2012_declined,Gauss,CrossEntropy,Trained
0.5,0.0,bpic2012_declined,Gauss,L1,Random
0.5,0.0,bpic2012_declined,Gauss,SmoothL1,Random
0.5,0.0,bpic2012_declined,Sigmoid,BCE,Random
0.5777840207444749,0.1267409688790076,bpic2012_declined,Sigmoid,CrossEntropy,Trained
0.5,0.0092817152081199,bpic2012_declined,Sigmoid,L1,Random
0.5,0.0,bpic2012_declined,Sigmoid,SmoothL1,Random
0.5,0.0,bpic2012_declined,Triangular,BCE,Random
0.5271570619950873,0.0972911854059928,bpic2012_declined,Triangular,CrossEntropy,Trained
0.5,0.2521751018696586,bpic2012_declined,Triangular,L1,Random
0.5,0.0,bpic2012_declined,Triangular,SmoothL1,Random
0.5,0.0,sepsis_cases_1,Bell,BCE,Random
0.6050437892921505,0.0,sepsis_cases_1,Bell,CrossEntropy,Trained
0.5,0.1992791400264498,sepsis_cases_1,Bell,L1,Random
0.5,0.0,sepsis_cases_1,Bell,SmoothL1,Random
0.6375378855482621,0.0560275140597256,sepsis_cases_1,DSigmoid,CrossEntropy,Trained
0.5,0.1190368268603566,sepsis_cases_1,DSigmoid,L1,Random
0.5,0.0,sepsis_cases_1,DSigmoid,SmoothL1,Random
0.5,0.0,sepsis_cases_1,Gauss,BCE,Random
0.5810842138478987,0.0,sepsis_cases_1,Gauss,CrossEntropy,Trained
0.5,0.1763861051368705,sepsis_cases_1,Gauss,L1,Random
0.5,0.0,sepsis_cases_1,Gauss,SmoothL1,Random
0.5,0.0,sepsis_cases_1,Sigmoid,BCE,Random
0.4910695049049195,0.0,sepsis_cases_1,Sigmoid,CrossEntropy,Trained
0.5,0.0434754053203606,sepsis_cases_1,Sigmoid,L1,Random
0.5,0.0,sepsis_cases_1,Sigmoid,SmoothL1,Random
0.5,0.0,sepsis_cases_1,Triangular,BCE,Random
0.5162882395611742,0.0,sepsis_cases_1,Triangular,CrossEntropy,Trained
0.5,0.0,sepsis_cases_1,Triangular,L1,Random
0.5,0.0,sepsis_cases_1,Triangular,SmoothL1,Random
0.5,0.0,sepsis_cases_2,Bell,BCE,Random
0.6892032497745244,0.2332685990778372,sepsis_cases_2,Bell,CrossEntropy,Trained
0.5,0.1128995958273064,sepsis_cases_2,Bell,L1,Random
0.5,0.0896885377041243,sepsis_cases_2,Bell,SmoothL1,Random
0.6485984693111397,0.1991248718766473,sepsis_cases_2,DSigmoid,CrossEntropy,Trained
0.5,0.0644869279103585,sepsis_cases_2,DSigmoid,L1,Random
0.5,0.0259858484710555,sepsis_cases_2,DSigmoid,SmoothL1,Random
0.5,0.0,sepsis_cases_2,Gauss,BCE,Random
0.725226995089882,0.1547379611917132,sepsis_cases_2,Gauss,CrossEntropy,Trained
0.5,0.1344563056734966,sepsis_cases_2,Gauss,L1,Random
0.5,0.0944156595044169,sepsis_cases_2,Gauss,SmoothL1,Random
0.5,0.0,sepsis_cases_2,Sigmoid,BCE,Random
0.6238424236671337,0.0835532223543543,sepsis_cases_2,Sigmoid,CrossEntropy,Trained
0.5,0.0713605134379018,sepsis_cases_2,Sigmoid,L1,Random
0.5,0.0601846846164332,sepsis_cases_2,Sigmoid,SmoothL1,Random
0.5,0.0,sepsis_cases_2,Triangular,BCE,Random
0.477046931424316,0.0,sepsis_cases_2,Triangular,CrossEntropy,Trained
0.5,0.051706608542195,sepsis_cases_2,Triangular,L1,Random
0.5,0.0,sepsis_cases_2,Triangular,SmoothL1,Random
0.5,0.0,sepsis_cases_4,Bell,BCE,Random
0.6751369167702349,0.8938947627872164,sepsis_cases_4,Bell,CrossEntropy,Trained
0.5,0.0,sepsis_cases_4,Bell,L1,Random
0.5,0.0,sepsis_cases_4,Bell,SmoothL1,Random
0.5,0.0,sepsis_cases_4,DSigmoid,BCE,Random
0.7516416817029891,0.8982463870621272,sepsis_cases_4,DSigmoid,CrossEntropy,Trained
0.5,0.2482042778369588,sepsis_cases_4,DSigmoid,L1,Random
0.5,0.0,sepsis_cases_4,DSigmoid,SmoothL1,Random
0.5,0.0,sepsis_cases_4,Gauss,BCE,Random
0.6832362812076429,0.8994634034599792,sepsis_cases_4,Gauss,CrossEntropy,Trained
0.5,0.0,sepsis_cases_4,Gauss,L1,Random
0.5,0.0,sepsis_cases_4,Gauss,SmoothL1,Random
0.5,0.0,sepsis_cases_4,Sigmoid,BCE,Random
0.7035146915928233,0.8994634034599792,sepsis_cases_4,Sigmoid,CrossEntropy,Trained
0.5,0.0,sepsis_cases_4,Sigmoid,L1,Random
0.5,0.0,sepsis_cases_4,Sigmoid,SmoothL1,Random
0.5,0.0,sepsis_cases_4,Triangular,BCE,Random
0.5797080316167348,0.4485968121786847,sepsis_cases_4,Triangular,CrossEntropy,Trained
0.5,0.0,sepsis_cases_4,Triangular,L1,Random
0.5,0.0,sepsis_cases_4,Triangular,SmoothL1,Random
