ROC_AUC_SCOREweighted,F1_SCOREweighted,DatasetName,MemberFunction,LossFunction
0.1242862914630747,0.0,bpic2011_f1,Bell,BCE
0.9624929773449108,0.8667231492091989,bpic2011_f1,Bell,CrossEntropy
0.9623154080432726,0.0035089434253978,bpic2011_f1,Bell,L1
0.9384829596399163,0.0051717504970031,bpic2011_f1,Bell,SmoothL1
0.8988655513612444,0.8333523316398996,bpic2011_f1,DSigmoid,CrossEntropy
0.9049558374957304,0.0143136310023727,bpic2011_f1,DSigmoid,L1
0.9252122892590632,0.0,bpic2011_f1,DSigmoid,SmoothL1
0.4737983316746335,0.0,bpic2011_f1,Gauss,BCE
0.9677207358496792,0.9109387216882568,bpic2011_f1,Gauss,CrossEntropy
0.9674226226236337,0.0035787436793559,bpic2011_f1,Gauss,L1
0.9355327636348916,0.0,bpic2011_f1,Gauss,SmoothL1
0.1686455294782952,0.0,bpic2011_f1,Sigmoid,BCE
0.975086014602809,0.9236178263771356,bpic2011_f1,Sigmoid,CrossEntropy
0.9740773049091396,0.0034728784706393,bpic2011_f1,Sigmoid,L1
0.9058906459147132,0.0,bpic2011_f1,Sigmoid,SmoothL1
0.4755867788881889,0.0,bpic2011_f1,Triangular,BCE
0.5608798881027904,0.1821655583274245,bpic2011_f1,Triangular,CrossEntropy
0.4774751441136695,0.0,bpic2011_f1,Triangular,L1
0.4762687507896849,0.0,bpic2011_f1,Triangular,SmoothL1
0.4351333258456276,0.0,bpic2011_f2,Bell,BCE
0.9016175959498433,0.8939449429542812,bpic2011_f2,Bell,CrossEntropy
0.819311826151796,0.0193986875063297,bpic2011_f2,Bell,L1
0.8950712690332733,0.0,bpic2011_f2,Bell,SmoothL1
0.6088356356201399,0.0,bpic2011_f2,DSigmoid,BCE
0.8102207679264952,0.8372607821643351,bpic2011_f2,DSigmoid,CrossEntropy
0.776501774874389,0.0936940760311723,bpic2011_f2,DSigmoid,L1
0.8481677454389632,0.0366867092367456,bpic2011_f2,DSigmoid,SmoothL1
0.7376322151922575,0.0,bpic2011_f2,Gauss,BCE
0.9154220626375617,0.908967562555585,bpic2011_f2,Gauss,CrossEntropy
0.8630012301084613,0.0134535596169194,bpic2011_f2,Gauss,L1
0.8895848865295474,0.0,bpic2011_f2,Gauss,SmoothL1
0.3896664723044834,0.0,bpic2011_f2,Sigmoid,BCE
0.8960289160528984,0.9081287854434376,bpic2011_f2,Sigmoid,CrossEntropy
0.8270152998292724,0.0464301587653155,bpic2011_f2,Sigmoid,L1
